English,German,type
house,Haus,noun
car,Auto,noun
book,Buch,noun
table,Tisch,noun
chair,Stuhl,noun
door,Tür,noun
window,Fenster,noun
street,Straße,noun
school,Schule,noun
teacher,Lehrer,noun
student,Schüler,noun
pen,Kugelschreiber,noun
paper,Papier,noun
computer,Computer,noun
phone,Telefon,noun
dog,Hund,noun
cat,Katze,noun
bird,Vogel,noun
fish,Fisch,noun
apple,Apfel,noun
banana,Banane,noun
bread,Brot,noun
water,Wasser,noun
milk,Milch,noun
coffee,Kaffee,noun
tea,Tee,noun
beer,Bier,noun
wine,Wein,noun
breakfast,Frühstück,noun
lunch,Mittagessen,noun
dinner,Abendessen,noun
day,Tag,noun
night,Nacht,noun
morning,Morgen,noun
evening,Abend,noun
week,Woche,noun
month,Monat,noun
year,Jahr,noun
friend,Freund,noun
family,Familie,noun
mother,Mutter,noun
father,Vater,noun
brother,Bruder,noun
sister,Schwester,noun
child,Kind,noun
baby,Baby,noun
man,Mann,noun
woman,Frau,noun
city,Stadt,noun
village,Dorf,noun
train,Zug,noun
bus,Bus,noun
bicycle,Fahrrad,noun
ticket,Ticket,noun
money,Geld,noun
shop,Geschäft,noun
market,Markt,noun
restaurant,Restaurant,noun
hotel,Hotel,noun
hospital,Krankenhaus,noun
doctor,Arzt,noun
nurse,Krankenschwester,noun
police,Polizei,noun
airport,Flughafen,noun
station,Bahnhof,noun
park,Park,noun
garden,Garten,noun
tree,Baum,noun
flower,Blume,noun
sun,Sonne,noun
moon,Mond,noun
rain,Regen,noun
snow,Schnee,noun
wind,Wind,noun
warm,warm,adjective
cold,kalt,adjective
hot,heiß,adjective
big,groß,adjective
small,klein,adjective
good,gut,adjective
bad,schlecht,adjective
new,neu,adjective
old,alt,adjective
beautiful,schön,adjective
ugly,hässlich,adjective
easy,einfach,adjective
difficult,schwierig,adjective
zero,null,numeral
one,eins,numeral
two,zwei,numeral
three,drei,numeral
four,vier,numeral
five,fünf,numeral
six,sechs,numeral
seven,sieben,numeral
eight,acht,numeral
nine,neun,numeral
ten,zehn,numeral
eleven,elf,numeral
twelve,zwölf,numeral
thirteen,dreizehn,numeral
fourteen,vierzehn,numeral
fifteen,fünfzehn,numeral
sixteen,sechzehn,numeral
seventeen,siebzehn,numeral
eighteen,achtzehn,numeral
nineteen,neunzehn,numeral
twenty,zwanzig,numeral
thirty,dreißig,numeral
forty,vierzig,numeral
fifty,fünfzig,numeral
sixty,sechzig,numeral
seventy,siebzig,numeral
eighty,achtzig,numeral
ninety,neunzig,numeral
hundred,hundert,numeral
thousand,tausend,numeral
monday,Montag,noun
tuesday,Dienstag,noun
wednesday,Mittwoch,noun
thursday,Donnerstag,noun
friday,Freitag,noun
saturday,Samstag,noun
sunday,Sonntag,noun
january,Januar,noun
february,Februar,noun
march,März,noun
april,April,noun
may,Mai,noun
june,Juni,noun
july,Juli,noun
august,August,noun
september,September,noun
october,Oktober,noun
november,November,noun
december,Dezember,noun
red,rot,adjective
blue,blau,adjective
green,grün,adjective
yellow,gelb,adjective
black,schwarz,adjective
white,weiß,adjective
gray,grau,adjective
brown,braun,adjective
orange,orange,adjective
purple,lila,adjective
pink,rosa,adjective
turquoise,türkis,adjective
gold,golden,adjective
silver,silbern,adjective
be,sein,verb
have,haben,verb
do,tun,verb
make,machen,verb
go,gehen,verb
come,kommen,verb
see,sehen,verb
look,schauen,verb
give,geben,verb
take,nehmen,verb
find,finden,verb
know,wissen,verb
think,denken,verb
want,wollen,verb
need,brauchen,verb
use,benutzen,verb
work,arbeiten,verb
play,spielen,verb
ask,fragen,verb
answer,antworten,verb
say,sagen,verb
tell,erzählen,verb
try,versuchen,verb
feel,fühlen,verb
leave,verlassen,verb
bring,bringen,verb
become,werden,verb
begin,beginnen,verb
start,starten,verb
finish,beenden,verb
open,öffnen,verb
close,schließen,verb
read,lesen,verb
write,schreiben,verb
speak,sprechen,verb
listen,zuhören,verb
hear,hören,verb
eat,essen,verb
drink,trinken,verb
sleep,schlafen,verb
wake,aufwachen,verb
walk,gehen,verb
run,rennen,verb
sit,sitzen,verb
stand,stehen,verb
wait,warten,verb
buy,kaufen,verb
sell,verkaufen,verb
pay,bezahlen,verb
cost,kosten,verb
cook,kochen,verb
drive,fahren,verb
ride,reiten,verb
fly,fliegen,verb
swim,schwimmen,verb
live,leben,verb
die,sterben,verb
help,helfen,verb
learn,lernen,verb
teach,lehren,verb
study,studieren,verb
clean,reinigen,verb
wash,waschen,verb
build,bauen,verb
repair,reparieren,verb
send,senden,verb
receive,erhalten,verb
call,anrufen,verb
meet,treffen,verb
love,lieben,verb
like,mögen,verb
hate,hassen,verb
hope,hoffen,verb
win,gewinnen,verb
lose,verlieren,verb
forget,vergessen,verb
remember,erinnern,verb
choose,wählen,verb
change,ändern,verb
grow,wachsen,verb
show,zeigen,verb
cover,bedecken,verb
cut,schneiden,verb
smile,lächeln,verb
cry,weinen,verb
laugh,lachen,verb
travel,reisen,verb
arrive,ankommen,verb
return,zurückkehren,verb
stay,bleiben,verb
borrow,leihen,verb
lend,verleihen,verb
agree,zustimmen,verb
disagree,widersprechen,verb
promise,versprechen,verb
invite,einladen,verb
discover,entdecken,verb
decide,entscheiden,verb
organize,organisieren,verb
plan,planen,verb
visit,besuchen,verb
enter,betreten,verb
exit,verlassen,verb
support,unterstützen,verb
cancel,abbrechen,verb
continue,fortsetzen,verb
head,Kopf,noun
hair,Haar,noun
eye,Auge,noun
ear,Ohr,noun
nose,Nase,noun
mouth,Mund,noun
tooth,Zahn,noun
tongue,Zunge,noun
neck,Hals,noun
shoulder,Schulter,noun
arm,Arm,noun
elbow,Ellenbogen,noun
hand,Hand,noun
finger,Finger,noun
thumb,Daumen,noun
chest,Brust,noun
back,Rücken,noun
stomach,Magen,noun
belly,Bauch,noun
leg,Bein,noun
knee,Knie,noun
foot,Fuß,noun
toe,Zeh,noun
skin,Haut,noun
heart,Herz,noun
blood,Blut,noun
bone,Knochen,noun
brain,Gehirn,noun
room,Zimmer,noun
kitchen,Küche,noun
bathroom,Badezimmer,noun
bedroom,Schlafzimmer,noun
ceiling,Decke,noun
floor,Fußboden,noun
wall,Wand,noun
bed,Bett,noun
pillow,Kissen,noun
blanket,Decke,noun
lamp,Lampe,noun
mirror,Spiegel,noun
key,Schlüssel,noun
bag,Tasche,noun
backpack,Rucksack,noun
wallet,Geldbörse,noun
newspaper,Zeitung,noun
magazine,Zeitschrift,noun
letter,Brief,noun
stamp,Briefmarke,noun
package,Paket,noun
bottle,Flasche,noun
glass,Glas,noun
cup,Tasse,noun
plate,Teller,noun
knife,Messer,noun
fork,Gabel,noun
spoon,Löffel,noun
pot,Topf,noun
pan,Pfanne,noun
egg,Ei,noun
cheese,Käse,noun
butter,Butter,noun
salt,Salz,noun
pepper,Pfeffer,noun
sugar,Zucker,noun
rice,Reis,noun
pasta,Nudeln,noun
meat,Fleisch,noun
chicken,Hähnchen,noun
beef,Rindfleisch,noun
pork,Schweinefleisch,noun
sausage,Wurst,noun
soup,Suppe,noun
salad,Salat,noun
potato,Kartoffel,noun
tomato,Tomate,noun
cucumber,Gurke,noun
carrot,Karotte,noun
onion,Zwiebel,noun
garlic,Knoblauch,noun
lemon,Zitrone,noun
strawberry,Erdbeere,noun
grape,Traube,noun
pear,Birne,noun
peach,Pfirsich,noun
cherry,Kirsche,noun
plum,Pflaume,noun
apricot,Aprikose,noun
melon,Melone,noun
watermelon,Wassermelone,noun
cake,Kuchen,noun
pie,Torte,noun
cookie,Keks,noun
honey,Honig,noun
oil,Öl,noun
vinegar,Essig,noun
shirt,Hemd,noun
t-shirt,T-Shirt,noun
blouse,Bluse,noun
pants,Hose,noun
jeans,Jeans,noun
shorts,Shorts,noun
skirt,Rock,noun
dress,Kleid,noun
suit,Anzug,noun
jacket,Jacke,noun
coat,Mantel,noun
sweater,Pullover,noun
hoodie,Kapuzensweatshirt,noun
socks,Socken,noun
shoes,Schuhe,noun
boots,Stiefel,noun
hat,Hut,noun
cap,Mütze,noun
scarf,Schal,noun
gloves,Handschuhe,noun
belt,Gürtel,noun
umbrella,Regenschirm,noun
glasses,Brille,noun
watch,Uhr,noun
ring,Ring,noun
necklace,Halskette,noun
earring,Ohrring,noun
worker,Arbeiter,noun
engineer,Ingenieur,noun
architect,Architekt,noun
lawyer,Anwalt,noun
judge,Richter,noun
chef,Koch,noun
waiter,Kellner,noun
artist,Künstler,noun
actor,Schauspieler,noun
musician,Musiker,noun
farmer,Bauer,noun
driver,Fahrer,noun
pilot,Pilot,noun
soldier,Soldat,noun
writer,Schriftsteller,noun
journalist,Journalist,noun
manager,Manager,noun
boss,Chef,noun
river,Fluss,noun
lake,See,noun
sea,Meer,noun
ocean,Ozean,noun
mountain,Berg,noun
valley,Tal,noun
forest,Wald,noun
field,Feld,noun
island,Insel,noun
beach,Strand,noun
sand,Sand,noun
stone,Stein,noun
rock,Felsen,noun
earth,Erde,noun
soil,Boden,noun
fire,Feuer,noun
ice,Eis,noun
cloud,Wolke,noun
storm,Sturm,noun
fog,Nebel,noun
sky,Himmel,noun
star,Stern,noun
platform,Bahnsteig,noun
crosswalk,Zebrastreifen,noun
map,Karte,noun
compass,Kompass,noun
camera,Kamera,noun
battery,Batterie,noun
charger,Ladegerät,noun
screen,Bildschirm,noun
keyboard,Tastatur,noun
mouse,Maus,noun
printer,Drucker,noun
file,Datei,noun
folder,Ordner,noun
internet,Internet,noun
website,Webseite,noun
password,Passwort,noun
account,Konto,noun
message,Nachricht,noun
I,ich,pronoun
you,du,pronoun
he,er,pronoun
she,sie,pronoun
it,es,pronoun
we,wir,pronoun
they,sie,pronoun
me,mich,pronoun
him,ihn,pronoun
her,sie,pronoun
us,uns,pronoun
them,sie,pronoun
my,mein,pronoun
your,dein,pronoun
his,sein,pronoun
our,unser,pronoun
their,ihr,pronoun
this,dies,pronoun
that,das,pronoun
these,diese,pronoun
those,jene,pronoun
in,in,preposition
on,auf,preposition
under,unter,preposition
over,über,preposition
between,zwischen,preposition
behind,hinter,preposition
with,mit,preposition
without,ohne,preposition
for,für,preposition
against,gegen,preposition
through,durch,preposition
to,zu,preposition
from,von,preposition
at,bei,preposition
before,vor,preposition
after,nach,preposition
during,während,preposition
and,und,conjunction
or,oder,conjunction
but,aber,conjunction
because,weil,conjunction
if,wenn,conjunction
while,während,conjunction
although,obwohl,conjunction
so,so,conjunction
than,als,conjunction
here,hier,adverb
there,dort,adverb
everywhere,überall,adverb
now,jetzt,adverb
soon,bald,adverb
already,schon,adverb
still,noch,adverb
again,wieder,adverb
today,heute,adverb
tomorrow,morgen,adverb
yesterday,gestern,adverb
very,sehr,adverb
more,mehr,adverb
most,am meisten,adverb
less,weniger,adverb
fast,schnell,adverb
slowly,langsam,adverb
accident,Unfall,noun
address,Adresse,noun
agreement,Vereinbarung,noun
ambition,Ehrgeiz,noun
amount,Betrag,noun
analysis,Analyse,noun
animal,Tier,noun
apartment,Wohnung,noun
appointment,Termin,noun
area,Gebiet,noun
argument,Streit,noun
army,Armee,noun
attention,Aufmerksamkeit,noun
attitude,Einstellung,noun
author,Autor,noun
bank,Bank,noun
battle,Schlacht,noun
benefit,Vorteil,noun
bill,Rechnung,noun
board,Tafel,noun
boat,Boot,noun
box,Kiste,noun
boy,Junge,noun
bridge,Brücke,noun
building,Gebäude,noun
business,Geschäft,noun
capital,Hauptstadt,noun
card,Karte,noun
case,Fall,noun
cause,Ursache,noun
chance,Chance,noun
choice,Wahl,noun
church,Kirche,noun
class,Klasse,noun
climate,Klima,noun
clothes,Kleidung,noun
color,Farbe,noun
company,Firma,noun
control,Kontrolle,noun
copy,Kopie,noun
country,Land,noun
course,Kurs,noun
crime,Verbrechen,noun
culture,Kultur,noun
customer,Kunde,noun
damage,Schaden,noun
danger,Gefahr,noun
data,Daten,noun
decision,Entscheidung,noun
department,Abteilung,noun
design,Design,noun
desk,Schreibtisch,noun
direction,Richtung,noun
discussion,Diskussion,noun
disease,Krankheit,noun
distance,Entfernung,noun
dream,Traum,noun
education,Bildung,noun
effect,Effekt,noun
effort,Anstrengung,noun
energy,Energie,noun
environment,Umwelt,noun
example,Beispiel,noun
experience,Erfahrung,noun
factory,Fabrik,noun
farm,Bauernhof,noun
flight,Flug,noun
food,Essen,noun
goal,Ziel,noun
government,Regierung,noun
group,Gruppe,noun
growth,Wachstum,noun
habit,Gewohnheit,noun
history,Geschichte,noun
idea,Idee,noun
industry,Industrie,noun
information,Information,noun
interest,Interesse,noun
job,Job,noun
journey,Reise,noun
language,Sprache,noun
law,Gesetz,noun
level,Niveau,noun
library,Bibliothek,noun
machine,Maschine,noun
material,Material,noun
medicine,Medizin,noun
meeting,Besprechung,noun
memory,Erinnerung,noun
moment,Moment,noun
music,Musik,noun
name,Name,noun
nature,Natur,noun
news,Nachricht,noun
office,Büro,noun
operation,Operation,noun
opinion,Meinung,noun
opportunity,Gelegenheit,noun
order,Bestellung,noun
organization,Organisation,noun
parent,Elternteil,noun
partner,Partner,noun
party,Party,noun
payment,Zahlung,noun
people,Menschen,noun
performance,Leistung,noun
photo,Foto,noun
plant,Pflanze,noun
player,Spieler,noun
position,Position,noun
power,Macht,noun
price,Preis,noun
problem,Problem,noun
process,Prozess,noun
product,Produkt,noun
project,Projekt,noun
purpose,Zweck,noun
question,Frage,noun
reason,Grund,noun
record,Aufzeichnung,noun
report,Bericht,noun
result,Ergebnis,noun
rule,Regel,noun
safety,Sicherheit,noun
science,Wissenschaft,noun
secret,Geheimnis,noun
service,Dienst,noun
side,Seite,noun
situation,Situation,noun
society,Gesellschaft,noun
solution,Lösung,noun
space,Raum,noun
sport,Sport,noun
story,Geschichte,noun
success,Erfolg,noun
system,System,noun
team,Team,noun
temperature,Temperatur,noun
thing,Ding,noun
time,Zeit,noun
truth,Wahrheit,noun
value,Wert,noun
view,Ansicht,noun
voice,Stimme,noun
war,Krieg,noun
weather,Wetter,noun
word,Wort,noun
world,Welt,noun
accept,akzeptieren,verb
add,hinzufügen,verb
allow,erlauben,verb
believe,glauben,verb
break,brechen,verb
dance,tanzen,verb
describe,beschreiben,verb
draw,zeichnen,verb
explain,erklären,verb
get,bekommen,verb
keep,behalten,verb
move,bewegen,verb
stop,stoppen,verb
talk,reden,verb
able,fähig,adjective
angry,wütend,adjective
best,beste,adjective
better,besser,adjective
bright,hell,adjective
busy,beschäftigt,adjective
cheap,billig,adjective
dark,dunkel,adjective
dead,tot,adjective
different,anders,adjective
dry,trocken,adjective
early,früh,adjective
empty,leer,adjective
famous,berühmt,adjective
fat,dick,adjective
fine,gut,adjective
free,frei,adjective
fresh,frisch,adjective
friendly,freundlich,adjective
full,voll,adjective
great,großartig,adjective
happy,glücklich,adjective
hard,hart,adjective
healthy,gesund,adjective
heavy,schwer,adjective
high,hoch,adjective
important,wichtig,adjective
interesting,interessant,adjective
kind,freundlich,adjective
large,groß,adjective
late,spät,adjective
lazy,faul,adjective
light,leicht,adjective
long,lang,adjective
loud,laut,adjective
modern,modern,adjective
narrow,schmal,adjective
nice,nett,adjective
poor,arm,adjective
popular,beliebt,adjective
quick,schnell,adjective
quiet,leise,adjective
rich,reich,adjective
right,richtig,adjective
sad,traurig,adjective
safe,sicher,adjective
short,kurz,adjective
sick,krank,adjective
slow,langsam,adjective
soft,weich,adjective
strong,stark,adjective
tall,groß,adjective
tired,müde,adjective
weak,schwach,adjective
wet,nass,adjective

young,jung,adjective
